Date,Transaction_Time,Type,Ticker,Name,Description,Shares,Price_Per_Share_EUR,Amount_EUR,Cash_Balance_EUR
2025-08-19,15:36:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 10 @ 38,27 EUR",10.0,38.27,382.7,809.9
2025-08-19,16:40:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,387.94,1192.6
2025-08-20,08:41:00,DEPOSIT,CASH,Cash,flatex Deposit,,,500.0,1304.66
2025-08-20,09:13:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 20 @ 35,51 EUR",20.0,35.51,710.2,594.46
2025-08-20,10:30:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,716.59,1304.66
2025-08-27,15:30:00,BUY,HROW,HARROW HEALTH INC,"Koop 10 @ 38,75 USD",10.0,33.2921,335.06,-387.5
2025-08-27,16:40:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,338.23,588.07
2025-09-04,08:57:00,DEPOSIT,CASH,Cash,flatex Deposit,,,800.0,1049.84
2025-09-04,16:29:00,BUY,ASTS,AST SPACEMOBILE INC,Koop 5 @ 42 USD,5.0,36.0192,180.86,-210.0
2025-09-04,17:51:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,183.49,1049.84
2025-09-29,17:12:00,BUY,HROW,HARROW HEALTH INC,"Koop 6 @ 49,5 USD",6.0,42.2779,253.92,-297.0
2025-09-29,17:36:00,BUY,NBIS,NEBIUS GROUP NV,"Koop 4 @ 109,6 USD",4.0,93.6094,374.68,-438.4
2025-09-29,17:36:00,BUY,NBIS,NEBIUS GROUP NV,"Koop 1 @ 109,6 USD",1.0,93.6094,374.68,-109.6
2025-09-29,18:30:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,728.8,137.55
2025-10-01,13:50:00,SELL,82W.BE,HIMS & HERS HEALTH INC,Verkoop 25 @ 48 EUR,-25.0,48.0,1200.0,1337.55
2025-10-01,14:31:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-1191.9,1329.45
2025-10-01,15:46:00,BUY,PGY,PAGAYA TECHNOLOGIES LTD,"Koop 20 @ 31,65 USD",20.0,26.9686,539.61,-633.0
2025-10-01,17:40:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,543.5,785.95
2025-10-07,16:06:00,SELL,ASTS,AST SPACEMOBILE INC,"Verkoop 5 @ 70,145 USD",-5.0,59.9003,350.73,350.73
2025-10-07,16:07:00,BUY,AMD,ADVANCED MICRO DEVICES INC,"Koop 4 @ 183,74 EUR",4.0,156.9048,627.62,348.02
2025-10-07,16:08:00,SELL,AMD,ADVANCED MICRO DEVICES INC,"Verkoop 4 @ 183,76 EUR",-4.0,156.9219,627.69,1076.59
2025-10-07,16:21:00,BUY,HROW,HARROW HEALTH INC,"Koop 4 @ 41,95 USD",4.0,35.8232,144.25,-167.8
2025-10-07,19:11:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-137.42,923.37
2025-10-08,17:18:00,SELL,AMD,ADVANCED MICRO DEVICES INC,"Verkoop 4 @ 192,24 EUR",-4.0,164.9477,659.79,1692.33
2025-10-08,17:19:00,BUY,CDLX,CARDLYTICS INC,"Koop 50 @ 2,32 USD",50.0,1.9906,100.13,-116.0
2025-10-08,17:35:00,BUY,HROW,HARROW HEALTH INC,"Koop 5 @ 40,75 USD",5.0,34.9647,175.89,-203.75
2025-10-08,18:40:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-481.38,1404.75
2025-10-08,21:58:00,SELL,AMD,ADVANCED MICRO DEVICES INC,"Verkoop 2 @ 202,45 EUR",-2.0,173.7082,347.42,1809.65
2025-10-08,23:30:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-399.58,1804.33
2025-10-09,15:30:00,BUY,ROOT,ROOT INC,"Koop 6 @ 82,34 USD",6.0,70.7877,426.45,-494.04
2025-10-09,15:30:00,BUY,PGY,PAGAYA TECHNOLOGIES LTD,"Koop 10 @ 30,61 USD",10.0,26.3154,264.22,-306.1
2025-10-09,15:41:00,BUY,ZETA,ZETA GLOBAL HOLDINGS CORP,"Koop 10 @ 17,55 EUR",10.0,15.0877,150.88,931.75
2025-10-09,17:51:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,877.09,927.24
2025-10-13,15:30:00,BUY,HROW,HARROW HEALTH INC,Koop 10 @ 38 USD,10.0,32.7518,329.23,-380.0
2025-10-13,17:31:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,332.38,594.86
2025-10-15,15:30:00,BUY,QTTB,Q32 BIO INC,"Koop 40 @ 3,92 USD",40.0,3.3786,135.27,-156.8
2025-10-15,18:50:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,137.74,594.86
2025-10-15,21:10:00,SELL,82W.BE,HIMS & HERS HEALTH INC,"Verkoop 15 @ 55,1 EUR",-15.0,55.1,826.5,1283.62
2025-10-16,00:20:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-819.71,457.12
2025-10-16,00:50:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-819.71,457.12
2025-10-16,03:31:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,819.71,2096.54
2025-10-17,15:45:00,BUY,PGY,PAGAYA TECHNOLOGIES LTD,"Koop 10 @ 27,895 USD",10.0,23.8427,239.47,-278.95
2025-10-17,18:50:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,242.31,1276.83
2025-10-21,12:27:00,SELL,AMD,ADVANCED MICRO DEVICES INC,"Verkoop 4 @ 206,95 EUR",-4.0,177.7245,710.9,1862.32
2025-10-21,14:00:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-821.0,1034.52
2025-10-21,16:58:00,BUY,NBIS,NEBIUS GROUP NV,"Koop 2 @ 105,755 USD",2.0,90.8203,182.71,-211.51
2025-10-21,16:59:00,BUY,ZETA,ZETA GLOBAL HOLDINGS CORP,"Koop 10 @ 16,85 EUR",10.0,14.4704,144.7,1501.67
2025-10-21,18:31:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,358.34,1855.52
2025-10-22,15:42:00,DEPOSIT,CASH,Cash,flatex Deposit,,,500.0,1997.18
2025-10-22,16:46:00,BUY,ZETA,ZETA GLOBAL HOLDINGS CORP,"Koop 10 @ 16,05 EUR",10.0,13.8357,138.36,1836.68
2025-10-22,19:11:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,164.96,1997.18
2025-10-23,09:44:00,BUY,ZETA,ZETA GLOBAL HOLDINGS CORP,"Koop 30 @ 15,8 EUR",30.0,13.6108,408.32,1358.22
2025-10-23,10:31:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,479.56,1832.22
2025-10-29,18:00:00,BUY,ZETA,ZETA GLOBAL HOLDINGS CORP,"Koop 20 @ 15,35 EUR",20.0,13.1671,263.34,1045.66
2025-10-29,19:30:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,311.97,1352.66
2025-11-03,17:03:00,SELL,QTTB,Q32 BIO INC,"Verkoop 40 @ 2,62 USD",-40.0,2.2727,104.8,104.8
2025-11-03,17:08:00,BUY,PGY,PAGAYA TECHNOLOGIES LTD,"Koop 20 @ 26,28 USD",20.0,22.7966,457.16,-525.6
2025-11-03,19:30:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,372.37,1040.69
2025-11-05,15:30:00,BUY,HROW,HARROW HEALTH INC,"Koop 1 @ 35,4 USD",1.0,30.8214,30.91,-35.4
2025-11-05,16:01:00,BUY,HROW,HARROW HEALTH INC,"Koop 9 @ 35,4 USD",9.0,30.8214,30.91,-318.6
2025-11-05,17:01:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,33.02,388.93
2025-11-05,17:50:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,279.39,635.3
2025-11-07,13:52:00,DEPOSIT,CASH,Cash,flatex Deposit,,,700.0,1055.91
